,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20190101,2.1,-5.0,-0.6,-8.2,49.5,7.5,0.0,7.6
1,20190101,2.2,-4.0,1.9,-10.2,56.9,7.1,0.0,12.1
2,20190101,5.9,1.6,5.6,-0.4,56.1,7.1,0.0,6.0
3,20190101,1.9,-6.1,0.1,-11.2,63.5,7.7,0.0,11.3
4,20190101,1.3,-4.1,0.2,-8.1,67.3,0.1,0.0,8.299999999999999
5,20190101,4.8,1.1,4.1,-1.7,62.6,3.4,0.0,5.8
6,20190101,2.5,-4.8,1.1,-10.9,58.6,6.1,0.0,12.0
7,20190102,1.2,-1.4,4.5,-6.3,20.9,8.9,0.0,10.8
8,20190102,2.2,-3.9,0.0,-6.4,48.8,9.1,0.0,6.4
9,20190102,3.0,-2.1,2.4,-5.4,39.9,8.2,0.0,7.800000000000001
10,20190102,8.0,3.2,4.4,2.2,63.3,0.0,0.0,2.2
11,20190102,1.0,-6.4,1.0,-13.1,50.6,8.8,0.0,14.1
12,20190102,1.1,-1.1,3.3,-4.8,68.5,4.6,0.0,8.1
13,20190102,2.5,1.4,4.9,-1.0,59.8,4.0,0.0,5.9
14,20190102,3.4,-1.2,4.2,-5.6,34.3,8.3,0.0,9.8
15,20190103,0.6,-7.2,2.4,-15.1,53.9,8.8,0.0,17.5
16,20190103,0.5,-5.3,1.6,-11.3,49.0,8.7,0.0,12.9
17,20190103,3.2,1.3,6.7,-3.0,30.1,8.8,0.0,9.7
18,20190103,1.6,2.0,6.7,-1.1,56.0,8.6,0.0,7.800000000000001
19,20190103,0.7,-5.7,3.6,-14.3,52.1,8.8,0.0,17.900000000000002
20,20190103,0.8,-4.9,4.6,-12.3,64.8,7.9,0.0,16.9
21,20190103,2.2,0.3,7.0,-5.2,58.1,9.1,0.0,12.2
22,20190103,0.9,-5.7,5.8,-13.7,50.3,8.5,0.0,19.5
23,20190104,1.4,-4.6,3.5,-14.1,62.9,6.8,0.0,17.6
24,20190104,3.0,4.6,8.7,1.2,50.3,6.3,0.0,7.499999999999999
25,20190104,0.2,-1.1,3.9,-6.1,64.3,1.7,0.0,10.0
26,20190104,1.3,-1.2,3.1,-6.2,75.3,0.9,0.0,9.3
27,20190104,2.0,-3.9,3.0,-13.1,58.0,6.3,0.0,16.1
28,20190104,0.8,-1.4,3.8,-7.4,74.4,1.7,0.0,11.2
29,20190104,0.9,-2.6,2.4,-10.0,74.4,0.6,0.0,12.4
30,20190104,0.6,-0.2,6.7,-7.5,50.4,5.9,0.0,14.2
31,20190105,1.3,-3.4,2.8,-7.9,37.3,8.6,0.0,10.7
32,20190105,1.7,-2.4,2.8,-6.4,45.0,8.8,0.0,9.2
33,20190105,2.0,2.4,7.5,-3.8,38.3,8.0,0.0,11.3
34,20190105,3.1,2.6,7.5,-1.3,57.0,6.4,0.0,8.8
35,20190105,0.8,-3.6,3.0,-8.7,56.0,7.8,0.0,11.7
36,20190105,1.3,0.3,6.2,-5.8,47.5,7.7,0.0,12.0
37,20190105,1.6,2.8,9.2,-4.0,55.6,3.9,0.0,13.2
38,20190105,2.2,1.3,7.1,-6.6,42.8,5.1,0.0,13.7
39,20190106,0.8,-6.2,2.1,-12.0,53.1,8.0,0.0,14.1
40,20190106,0.5,-4.3,4.1,-10.3,51.9,7.4,0.0,14.4
41,20190106,1.2,-1.4,4.1,-5.1,57.6,8.7,0.0,9.2
42,20190106,5.7,-1.9,2.6,-4.2,78.4,8.8,0.0,6.800000000000001
43,20190106,0.6,-5.3,3.1,-11.3,52.1,6.3,0.0,14.4
44,20190106,0.9,-4.1,5.0,-9.7,56.0,7.9,0.0,14.7
45,20190106,0.6,-1.0,9.3,-7.1,44.9,7.4,0.0,16.4
46,20190106,1.4,0.8,8.5,-5.2,38.5,6.9,0.0,13.7
47,20190107,4.8,-6.2,-1.1,-12.3,42.8,8.1,0.0,11.2
48,20190107,1.0,-4.4,3.9,-11.3,62.8,6.5,0.0,15.2
49,20190107,2.9,2.9,7.9,-1.1,27.4,9.0,0.0,9.0
50,20190107,0.9,-2.2,4.5,-9.3,74.9,6.7,0.0,13.8
51,20190107,1.4,-4.4,1.8,-12.1,50.0,6.5,0.0,13.9
52,20190107,1.1,-1.0,4.2,-6.4,75.8,7.0,0.0,10.6
53,20190107,1.5,-1.2,6.4,-8.3,63.8,8.0,0.0,14.7
54,20190107,0.9,-2.1,6.2,-9.9,55.5,8.3,0.0,16.1
55,20190108,1.9,-5.2,1.7,-11.3,48.9,8.0,0.0,13.0
56,20190108,2.8,-2.9,1.7,-6.9,58.1,7.7,0.0,8.6
57,20190108,2.0,1.7,7.2,-2.5,40.8,8.3,0.0,9.7
58,20190108,4.3,6.6,8.8,4.5,62.5,0.3,0.0,4.300000000000001
59,20190108,2.5,-5.6,1.5,-12.6,46.3,8.9,0.0,14.1
60,20190108,2.8,-0.2,3.5,-3.2,72.0,4.4,0.0,6.7
61,20190108,2.6,2.4,7.4,-1.3,41.4,8.7,0.0,8.700000000000001
62,20190108,1.2,-0.1,7.8,-5.8,45.8,8.2,0.0,13.6
63,20190109,2.7,-3.4,-1.3,-6.0,67.3,4.4,0.0,4.7
64,20190109,3.3,0.7,5.2,-2.7,32.4,6.8,0.0,7.9
65,20190109,1.6,-0.9,3.8,-5.1,33.1,4.3,0.0,8.899999999999999
66,20190109,6.3,4.0,6.5,1.7,62.3,2.5,0.0,4.8
67,20190109,0.6,-6.1,2.8,-13.1,51.3,5.1,0.0,15.9
68,20190109,2.8,0.3,5.1,-4.0,39.6,5.7,0.0,9.1
69,20190109,3.1,0.4,3.2,-2.9,51.1,3.1,0.0,6.1
